Database,Units,Series_Code,Country,Descriptor,1970A1,1971A1,1972A1,1973A1,1974A1,1975A1,1976A1,1977A1,1978A1,1979A1,1980A1,1981A1,1982A1,1983A1,1984A1,1985A1,1986A1,1987A1,1988A1,1989A1,1990A1,1991A1,1992A1,1993A1,1994A1,1995A1,1996A1,1997A1,1998A1,1999A1,2000A1,2001A1
World Economic Outlook,Annual percent change,W423NGDP_R%,CYPRUS,"Gross domestic product, constant prices",3.08,12.73,6.77,3.63,-16.91,-19.01,16.85,15.77,7.77,9.91,5.75,2.52,6.02,5.58,8.77,4.73,3.81,7.04,8.32,7.84,7.42,0.52,9.59,0.67,5.87,6.10,1.90,2.50,5.00,4.51,n.a.,n.a.
World Economic Outlook,Annual percent change,W935NGDP_R%,CZECH REPUBLIC,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.57,2.70,6.43,3.82,0.32,-2.33,-0.50,n.a.,n.a.
World Economic Outlook,Annual percent change,W128NGDP_R%,DENMARK,"Gross domestic product, constant prices",2.27,2.70,5.26,3.61,-0.92,-0.66,6.45,1.62,1.47,3.54,-0.44,-0.89,3.02,2.52,4.39,4.29,3.64,0.29,1.16,0.26,1.21,1.39,1.28,0.84,5.75,3.69,2.85,3.13,2.69,1.33,1.72,2.10
World Economic Outlook,Annual percent change,W611NGDP_R%,DJIBOUTI,"Gross domestic product, constant prices",6.22,10.52,-3.54,18.38,0.00,4.25,8.46,-12.72,5.70,4.00,3.40,2.90,1.69,1.24,0.56,-0.20,-1.19,0.49,1.20,-2.60,-0.60,0.50,-0.20,-3.90,-2.90,-3.60,-3.70,0.70,0.80,1.30,n.a.,n.a.
World Economic Outlook,Annual percent change,W321NGDP_R%,DOMINICA,"Gross domestic product, constant prices",4.39,7.34,7.48,8.30,6.77,2.90,4.86,3.43,12.50,-16.98,28.63,12.09,4.36,3.19,5.43,1.28,7.08,7.52,8.56,-0.24,5.25,0.67,2.12,1.70,1.40,2.30,2.10,0.60,4.80,3.50,n.a.,n.a.
World Economic Outlook,Annual percent change,W243NGDP_R%,DOMINICAN REPUBLIC,"Gross domestic product, constant prices",8.52,10.87,10.39,12.90,6.00,5.19,6.73,4.98,2.04,4.75,6.06,4.06,1.72,4.63,1.25,-2.12,3.61,10.03,2.16,4.81,-5.83,0.97,8.02,3.02,4.34,4.81,7.27,8.15,7.26,8.30,6.50,6.00
World Economic Outlook,Annual percent change,W248NGDP_R%,ECUADOR,"Gross domestic product, constant prices",6.46,6.26,14.42,22.84,6.36,5.59,9.29,6.54,6.54,5.31,4.90,3.93,1.24,-2.83,4.17,4.39,3.10,-5.90,10.36,0.28,3.01,5.00,3.60,2.00,4.35,2.40,1.90,3.50,0.40,-7.00,1.50,4.00
World Economic Outlook,Annual percent change,W469NGDP_R%,EGYPT,"Gross domestic product, constant prices",1.80,4.91,3.90,-1.30,5.10,14.30,7.18,9.12,8.60,2.29,3.35,2.21,7.31,8.90,8.00,7.40,4.80,9.75,4.03,2.95,2.41,2.13,0.33,0.50,2.90,3.20,4.30,4.95,5.30,6.00,5.63,5.03
World Economic Outlook,Annual percent change,W253NGDP_R%,EL SALVADOR,"Gross domestic product, constant prices",2.98,4.81,5.46,5.06,6.42,5.56,3.97,6.07,6.40,-1.91,-8.62,-8.30,-5.59,0.77,2.26,2.01,0.63,2.42,2.07,0.87,4.89,3.56,7.41,7.39,6.00,6.40,1.80,4.26,3.16,1.97,n.a.,n.a.
World Economic Outlook,Annual percent change,W642NGDP_R%,EQUATORIAL GUINEA,"Gross domestic product, constant prices",9.76,4.28,2.21,7.32,3.04,6.58,0.29,7.32,-5.00,-4.99,4.84,5.77,2.20,5.00,1.01,1.99,-2.33,4.44,2.66,-1.23,3.26,-1.14,10.70,6.30,5.11,14.26,29.14,71.19,21.96,15.10,n.a.,n.a.
World Economic Outlook,Annual percent change,W643NGDP_R%,ERITREA,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-2.54,9.80,2.95,6.75,7.87,3.90,2.95,n.a.,n.a.
World Economic Outlook,Annual percent change,W939NGDP_R%,ESTONIA,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-7.91,-21.64,-8.20,-2.00,4.30,3.90,10.60,4.00,-1.30,4.00,6.00
World Economic Outlook,Annual percent change,W644NGDP_R%,ETHIOPIA,"Gross domestic product, constant prices",3.60,4.49,4.77,2.70,1.44,0.10,2.31,0.60,-1.13,7.24,4.00,0.12,0.78,7.40,-2.92,-11.48,9.60,14.09,0.42,1.14,2.63,-4.78,-5.22,13.36,3.49,6.13,10.90,5.89,-1.04,5.69,n.a.,n.a.
World Economic Outlook,Annual percent change,W819NGDP_R%,FIJI,"Gross domestic product, constant prices",12.71,6.86,7.50,11.61,2.54,-0.05,1.77,-3.47,1.94,12.29,-1.69,6.00,-1.09,-4.21,10.11,-3.77,6.60,-7.19,3.46,13.88,3.18,1.45,4.81,3.48,4.15,2.39,3.27,3.62,4.01,4.52,n.a.,n.a.
World Economic Outlook,Annual percent change,W172NGDP_R%,FINLAND,"Gross domestic product, constant prices",7.83,2.09,7.62,6.72,3.03,1.15,0.27,0.19,2.56,7.41,5.62,1.85,3.25,2.70,3.02,3.37,2.37,4.10,4.90,5.67,1.52,-6.26,-3.32,-1.15,3.95,3.81,4.01,6.29,5.04,3.59,4.11,3.50
World Economic Outlook,Annual percent change,W132NGDP_R%,FRANCE,"Gross domestic product, constant prices",5.73,4.78,4.43,5.44,3.11,-0.28,4.24,3.22,3.35,3.24,1.62,1.22,2.63,1.49,1.65,1.45,2.41,2.53,4.61,4.17,2.61,1.00,1.49,-0.89,2.07,1.78,1.10,1.97,3.43,2.74,3.49,3.11
World Economic Outlook,Annual percent change,W646NGDP_R%,GABON,"Gross domestic product, constant prices",5.75,4.97,8.39,7.04,6.65,6.90,39.40,-20.70,-27.50,-0.70,0.00,-4.00,4.10,2.00,4.90,5.80,-2.10,-15.40,3.50,15.43,5.18,6.12,-3.26,2.39,3.44,6.97,5.06,5.29,2.12,-5.76,n.a.,n.a.
World Economic Outlook,Annual percent change,W648NGDP_R%,"GAMBIA, THE","Gross domestic product, constant prices",-8.74,10.98,6.99,12.72,9.87,4.61,10.32,12.81,-5.35,18.80,0.71,-9.52,20.76,13.52,-7.62,3.65,2.36,2.80,1.70,4.33,5.70,2.16,4.42,6.13,3.83,-3.40,5.32,0.76,9.89,4.17,n.a.,n.a.
World Economic Outlook,Annual percent change,W915NGDP_R%,GEORGIA,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-21.10,-44.90,-29.30,-10.40,2.60,10.49,10.80,2.90,3.00,4.00,5.00
World Economic Outlook,Annual percent change,W134NGDP_R%,GERMANY,"Gross domestic product, constant prices",5.04,3.06,4.25,4.76,0.20,-1.25,5.32,2.85,3.00,4.22,0.98,0.10,-0.94,1.76,2.81,2.03,2.35,1.48,3.72,3.62,5.74,5.01,2.24,-1.09,2.35,1.73,0.76,1.45,2.15,1.46,2.79,3.26
World Economic Outlook,Annual percent change,W652NGDP_R%,GHANA,"Gross domestic product, constant prices",6.76,1.93,-2.92,2.85,10.12,-11.86,-3.54,2.28,8.48,-2.51,0.45,-2.08,-7.65,-0.43,2.99,5.36,4.79,4.99,5.56,5.09,3.36,5.35,3.87,5.02,3.78,4.50,3.52,4.20,4.55,5.50,6.00,6.00
World Economic Outlook,Annual percent change,W174NGDP_R%,GREECE,"Gross domestic product, constant prices",7.95,7.13,8.87,7.31,-3.64,6.07,6.35,3.44,6.68,3.70,1.74,0.06,-0.53,0.78,2.75,3.12,1.62,-0.46,5.36,3.80,0.00,3.10,0.70,-1.60,2.00,2.10,2.40,3.40,3.70,3.50,3.56,3.08
World Economic Outlook,Annual percent change,W328NGDP_R%,GRENADA,"Gross domestic product, constant prices",4.39,7.34,7.48,8.30,6.77,2.90,9.03,5.70,8.12,2.39,-0.53,1.49,4.29,7.05,6.65,7.18,3.50,7.74,6.85,5.80,5.20,3.60,1.10,-1.20,3.30,3.10,2.86,4.20,5.80,6.15,n.a.,n.a.
World Economic Outlook,Annual percent change,W258NGDP_R%,GUATEMALA,"Gross domestic product, constant prices",5.71,5.58,7.33,6.78,6.38,1.95,7.39,7.81,5.00,4.71,3.70,0.64,-3.54,-2.53,0.51,-0.60,0.10,3.58,3.89,3.94,3.10,3.66,4.84,3.93,4.03,4.95,2.95,4.37,5.15,3.29,3.00,3.00
World Economic Outlook,Annual percent change,W656NGDP_R%,GUINEA,"Gross domestic product, constant prices",3.80,5.37,2.32,1.57,5.25,2.88,7.92,-3.35,6.80,-1.21,2.60,0.60,1.80,1.30,1.40,5.00,3.11,3.30,6.31,4.00,4.34,2.61,3.00,4.70,4.00,4.41,4.60,4.84,4.48,3.75,n.a.,n.a.
World Economic Outlook,Annual percent change,W654NGDP_R%,GUINEA-BISSAU,"Gross domestic product, constant prices",3.80,5.37,2.31,1.58,5.68,5.37,4.90,-7.20,37.00,-1.52,15.98,-0.50,4.20,-3.40,5.50,4.30,-1.00,5.60,1.96,2.93,4.58,5.10,1.05,2.05,3.15,4.41,4.60,5.36,-28.07,8.66,n.a.,n.a.
World Economic Outlook,Annual percent change,W336NGDP_R%,GUYANA,"Gross domestic product, constant prices",3.42,2.82,-1.97,1.72,6.99,10.42,2.93,-4.78,-2.80,-1.60,1.60,-0.30,-10.60,-9.30,2.10,2.00,-0.90,0.90,-0.27,-4.94,-3.04,6.00,7.82,8.18,8.53,5.03,7.93,6.20,-1.50,1.80,n.a.,n.a.
World Economic Outlook,Annual percent change,W263NGDP_R%,HAITI,"Gross domestic product, constant prices",0.65,6.48,0.92,4.78,5.81,1.10,8.44,0.48,4.87,7.60,7.34,-3.03,-3.72,0.22,0.64,0.89,-0.18,-0.75,0.58,0.53,0.18,4.75,-13.19,-2.43,-8.28,4.44,2.69,1.15,3.00,2.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W268NGDP_R%,HONDURAS,"Gross domestic product, constant prices",6.24,2.35,6.22,4.67,-0.13,-3.00,10.50,10.38,8.30,6.30,0.73,2.54,-1.34,-0.94,4.35,4.17,0.72,6.07,4.54,4.33,0.10,3.25,5.62,6.23,-1.37,4.30,3.70,4.90,5.00,5.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W944NGDP_R%,HUNGARY,"Gross domestic product, constant prices",15.98,6.23,6.13,6.86,5.87,6.20,3.57,7.64,4.45,2.68,0.21,2.87,2.84,0.72,2.66,-0.25,1.53,4.05,-0.07,0.74,-3.50,-11.89,-3.06,-0.58,2.90,1.54,1.34,4.58,4.90,4.10,4.50,4.60
